BatterID,PitcherID,OPS
10000089,10000367,0.844
10001038,10001025,0.833
10001911,10001025,0.671
10000534,10000328,0.539
10000312,10006172,2.278
10000041,10001161,1.615
10000137,10000886,0.823
10000129,10000886,0.651
10001179,10000613,0.722
10000352,10001025,0.842
10000350,10001025,0.879
10000209,10005327,1.833
10007200,10005327,1.142
10005299,10005294,0.9
10000121,10000886,1
10000675,10003322,0.781
10000684,10003322,1.083
10000125,10000886,0.681
10000542,10000328,0.807
10006662,10005337,1.667
10000530,10000970,1.167
10000266,10005327,1.071
10000395,10001161,0.929
10000578,10000328,0.875
10000261,10005327,0.856
10001009,10005294,0.777
10000771,10000291,0.777
10000034,10001161,0.844
10001000,10005294,1.067
10003204,10005294,0.777
10001314,10001025,0.666
10001315,10000328,0.854
10000679,10003322,0.428
10000954,10000970,0.717
10000493,10000613,0.327
10000768,10000367,1.7
10000918,10000842,1.3
10000227,10000970,0.971
10000301,10006172,0.971
10000081,10006172,0.762
10000584,10005294,0.666
10001185,10000613,0.666
10006354,10000886,0.804
10005445,10000367,0.715
10000219,10005337,0.661
10000260,10005327,0.708
10000311,10006172,0.708
10002087,10000113,0.958
10000600,10005337,0.958
10001133,10006172,0.444
10000856,10000113,0.778
10000084,10005337,0.444
10005834,10005294,0.4
10005498,10000970,0.4
10005384,10000970,0.5
10000031,10001161,0.63
10000343,10001025,0.584
10002013,10000328,0.286
10002054,10005327,0.302
10000077,10000367,0.332
10006164,10005879,0.75
10000632,10000970,0.65
10004784,10005337,0.733
10000446,10001993,0.533
10000082,10000113,0.334
10000777,10000113,0.453
10000862,10000970,0.5
10001011,10005294,0.334
10001947,10006172,0.476
10000344,10001025,0.286
10000860,10000970,0.222
10000769,10000291,0.555
10000678,10003322,0.495
10000357,10001025,0.222
10000723,10006172,0.25
